ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,7200
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,6000
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,6000
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,6960
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,6000
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,7200
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,6000
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,6000
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,7200
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,7200
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,6000
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,6000
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,6000
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,6000
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,6000
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,7200
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,6000
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,6000
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,6000
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,7400
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,7200
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,6000
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,7200
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,6000
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,7400
26,Chau_Thanh,10.40097,105.348815,WS,T,25-03-2022,2.53,7400
27,Chau_Phu,10.594603,105.175686,WS,D,12-04-2022,2.2,7200
28,Chau_Phu,10.514912,105.216308,SA,D,14-07-2022,2.0,6000
29,Thoai_Son,10.293434,105.256309,SA,T,20-07-2022,2.3,6000
30,Chau_Phu,10.48194,105.151543,SA,D,14-07-2022,2.9,6000
31,Thoai_Son,10.238171,105.198793,SA,T,20-07-2022,3.6,6000
32,Thoai_Son,10.326776,105.33819,SA,T,20-07-2022,1.7,6000
33,Chau_Thanh,10.421158,105.237197,WS,T,27-03-2022,1.76,7400
34,Chau_Thanh,10.369692,105.29684,WS,T,10-04-2022,4.0,7200
35,Chau_Phu,10.473786,105.190479,WS,T,03-04-2022,1.7,7200
36,Thoai_Son,10.365734,105.267634,WS,T,12-04-2022,2.5,7200
37,Thoai_Son,10.281814,105.114918,SA,T,25-07-2022,5.0,6000
38,Chau_Thanh,10.411649,105.370659,SA,T,15-07-2022,1.43,6000
39,Chau_Phu,10.477062,105.168941,WS,D,03-04-2022,3.4,6800
